segment_id,day_avg,hour_0_avg,hour_1_avg,hour_2_avg,hour_3_avg,hour_4_avg,hour_5_avg,hour_6_avg,hour_7_avg,hour_8_avg,hour_9_avg,hour_10_avg,hour_11_avg,hour_12_avg,hour_13_avg,hour_14_avg,hour_15_avg,hour_16_avg,hour_17_avg,hour_18_avg,hour_19_avg,hour_20_avg,hour_21_avg,hour_22_avg,hour_23_avg
185455615753,40,43,43,34,41,46,38,38,42,39,41,39,42,38,47,38,39,40,37,36,38,36,44,36,38
36071284489,37,32,64,42,29,34,32,59,35,59,42,36,35,36,39,36,34,53,33,25,31,36,43,35,32
98851626761,29,31,,,,,,,28,,25,23,,16,24,23,,30,29,42,25,,22,,
35500859145,33,30,36,40,26,64,,66,42,35,36,34,30,31,35,35,29,40,34,28,29,29,26,31,45
324538483424,43,41,36,56,18,,55,72,64,42,37,55,39,52,47,32,50,36,28,30,28,29,43,59,30
46741593865,31,34,54,32,30,31,33,,37,36,27,33,29,25,30,28,33,33,35,28,28,31,27,26,36
98885181193,29,,26,,,,,47,20,33,,20,27,37,26,41,,28,24,22,25,42,,19,
284843590368,43,45,55,46,51,51,54,48,45,54,48,51,39,44,41,38,40,42,42,39,39,40,39,40,47
72175853321,45,,,,,,,,,,59,51,27,71,,83,24,53,46,29,31,32,35,,
241223081737,34,31,38,,28,34,,32,32,36,35,38,36,39,32,33,36,35,35,33,25,30,29,35,37
235887927049,67,79,80,59,70,85,72,74,62,62,72,69,69,63,66,64,73,62,62,75,64,68,66,67,57
93550026505,49,43,40,,,,,,,,43,33,38,50,77,,35,59,76,33,86,35,52,29,44
209212153609,33,,,,,,,,,31,28,26,,,53,,33,26,,,21,,,,
203876998921,37,35,45,29,42,,,86,46,36,38,32,37,46,32,37,43,35,29,41,35,38,43,24,34
279508435680,55,60,63,61,59,65,62,65,52,55,56,57,50,51,53,54,52,56,51,55,55,52,51,52,57
193206689545,43,41,37,49,,35,,42,34,36,53,46,46,47,52,47,43,44,40,44,42,41,38,38,38
118514523913,57,57,59,59,63,59,58,59,58,57,58,58,59,55,58,57,61,60,57,58,55,55,56,56,56
107844214537,21,,,,,,,,,,,21,,,,,,,,,,,,,
102509059849,41,,,46,,,,,46,36,48,37,34,34,34,45,41,35,35,33,35,35,107,,42
86503595785,57,,,,,,,,,92,57,50,57,54,81,61,56,61,41,58,46,40,51,56,47
81168441097,46,55,53,50,42,43,,61,34,41,40,58,44,41,39,43,47,39,51,43,55,39,71,45,46
75833286409,43,,48,,,,,99,74,47,36,74,31,,24,23,33,27,48,42,,28,38,52,
70498131721,36,37,39,37,44,44,42,39,47,35,40,45,33,31,31,31,32,38,34,34,28,33,32,36,37
65162977033,33,41,,,,,,,,,23,42,,,34,,,28,,37,,,33,27,
53855133449,34,39,39,29,41,,,,35,39,44,31,33,28,29,34,28,30,32,26,29,60,34,31,40
