segment_id,day_avg,hour_0_avg,hour_1_avg,hour_2_avg,hour_3_avg,hour_4_avg,hour_5_avg,hour_6_avg,hour_7_avg,hour_8_avg,hour_9_avg,hour_10_avg,hour_11_avg,hour_12_avg,hour_13_avg,hour_14_avg,hour_15_avg,hour_16_avg,hour_17_avg,hour_18_avg,hour_19_avg,hour_20_avg,hour_21_avg,hour_22_avg,hour_23_avg
263670743776,47,78,69,,79,87,78,73,87,78,72,53,26,13,12,17,23,51,11,15,58,72,69,69,74
172939812617,37,,,,88,,,,,34,25,42,25,,32,34,,,,,,26,,,31
290178745056,47,56,46,30,73,56,62,63,58,34,54,47,44,61,42,45,46,45,37,25,,40,44,48,53
98885181193,25,,,,,,,,,,,,,,,,,,25,,,,,,
319203328736,42,43,,,,,,46,,31,46,35,35,49,,43,40,51,37,52,36,47,37,40,
241223081737,33,26,,,,,,,,28,34,34,33,34,,31,30,33,32,27,64,,34,,
127909764873,39,,,,,,23,,,,53,,,,,,,,,40,,,,,
203876998921,43,44,,,,,,,,39,,,66,,,36,,23,,,,,,,
279508435680,49,52,60,66,77,65,61,56,53,50,51,50,49,35,42,45,44,48,44,46,35,44,51,43,52
139855142665,11,,,,,,,,,,,,,8,,13,,,,,,,,,
123849678601,41,38,,,49,,,,59,,,57,,,30,,69,36,43,43,31,44,38,20,41
118514523913,56,55,60,56,,,,59,62,62,57,55,54,,49,52,54,54,56,57,51,53,56,59,57
329135440608,43,43,,,,,,,,,,,,,,,,,,,,,,,
81168441097,47,,,,,,,,,27,36,50,47,61,40,40,85,,,,38,,,,
302459667168,60,94,82,81,79,81,85,84,75,63,62,44,25,19,19,23,56,67,48,16,53,,70,75,61
88214871817,54,,,,,,,,,50,,,57,55,55,56,,,,,,,,,50
270448739040,28,35,,,,,,,,,,33,,,,,,20,,,,,,,
265113584352,51,67,56,,,,,73,49,46,50,42,56,50,47,53,53,44,46,36,36,45,41,57,54
102374589152,41,65,66,,,70,46,,58,,64,55,23,21,19,27,20,25,18,21,33,59,61,38,35
137069871840,50,,,,,,,,,,71,,,60,44,36,,,40,,,,,,
82879717129,34,,,,,,,,,29,,,,,31,42,,,,,,,,,
105058943712,39,49,,54,42,,,,,38,,29,25,29,,41,38,44,,,36,,38,,45
