segment_id,day_avg,hour_0_avg,hour_1_avg,hour_2_avg,hour_3_avg,hour_4_avg,hour_5_avg,hour_6_avg,hour_7_avg,hour_8_avg,hour_9_avg,hour_10_avg,hour_11_avg,hour_12_avg,hour_13_avg,hour_14_avg,hour_15_avg,hour_16_avg,hour_17_avg,hour_18_avg,hour_19_avg,hour_20_avg,hour_21_avg,hour_22_avg,hour_23_avg
263670743776,60,81,72,86,83,84,,77,87,86,77,76,71,66,47,48,10,49,61,49,51,27,36,53,76
35500859145,33,20,,42,,31,,,,,32,,,36,,,30,,38,,,,,34,31
290178745056,49,42,64,57,44,54,59,54,,64,60,48,51,40,50,47,59,47,52,32,38,54,39,41,67
64525442825,36,44,38,,,37,,42,34,39,41,31,33,34,32,54,36,33,30,29,29,47,27,35,29
284843590368,41,37,38,51,,,,,,,,35,,,,32,40,,,65,,,,,
235887927049,60,69,,50,39,,,,50,89,71,45,51,63,55,27,63,65,60,69,68,52,58,72,43
59190288137,52,,,,,,,,,,,52,,,,,,52,,,,,,,
203876998921,45,77,,,,,,35,,,38,,,,39,,,32,,,,,,,
313868174048,64,71,,,,,,,,80,,,,,,44,,64,54,60,,,,69,
139855142665,10,,,,,,,,,,,7,,12,,,,,,,,,,,
329135440608,39,,,,,,,,,,,43,,,,32,,,,,,,,,
81168441097,42,,,,,,,,,,,62,37,34,,,,,52,,,27,,,
302459667168,59,69,74,80,,,,92,82,75,,28,13,17,19,18,45,76,77,85,57,55,69,67,98
88214871817,58,,,,,,,,,,,58,,56,61,,,,58,,,,57,,
270448739040,30,,,,,,,,,,,,,36,,,,,,24,,,,,
265113584352,51,62,62,,,,66,55,59,57,46,48,49,40,47,43,48,54,51,41,50,48,46,60,57
136734327520,50,56,54,60,45,,82,54,58,48,49,40,67,46,43,48,48,58,48,54,53,45,39,44,43
137069871840,47,,,,,48,,,40,26,,,,,,28,,,74,,60,,,,
131734717152,54,68,,,,,,,,,,,,,47,45,59,67,37,,75,45,,,
