segment_id,day_avg,hour_0_avg,hour_1_avg,hour_2_avg,hour_3_avg,hour_4_avg,hour_5_avg,hour_6_avg,hour_7_avg,hour_8_avg,hour_9_avg,hour_10_avg,hour_11_avg,hour_12_avg,hour_13_avg,hour_14_avg,hour_15_avg,hour_16_avg,hour_17_avg,hour_18_avg,hour_19_avg,hour_20_avg,hour_21_avg,hour_22_avg,hour_23_avg
263670743776,50,105,,,89,84,110,62,13,14,19,16,28,56,56,42,53,38,10,5,47,68,73,101,74
35500859145,28,41,,,40,38,,,,,21,,24,,16,,,20,,,52,22,18,22,33
290178745056,47,64,35,53,,52,63,56,,46,42,34,40,53,43,41,53,20,42,44,50,33,49,47,65
64525442825,33,,,,,,,31,30,33,26,36,42,24,31,36,33,32,25,29,26,34,39,42,42
284843590368,39,,,,,,,,,,32,,37,,,35,50,,,,,,,,49
241223081737,34,24,,,,,,33,34,33,36,40,,30,,,,32,36,,,,,,
127909764873,32,,,,,,,,27,,,,44,,,,,,,,,,,,
203876998921,34,36,,,,,,,,,33,,,,,,33,,,,,,,,
279508435680,48,59,56,62,66,59,53,43,35,,28,37,48,43,50,49,65,48,47,43,53,53,47,46,65
182536380169,44,,,,,,,,,36,23,81,33,53,53,28,41,33,48,,29,34,37,67,
139855142665,15,,,,,,,,,,,,,,,,15,,,,,,,,
123849678601,31,,,,,,,,,,33,48,21,16,26,29,45,29,35,37,,,,31,32
329135440608,70,,,,,,,,,,,,,,,,,,,,,70,,,
81168441097,47,40,,,,,,,,25,36,99,42,33,57,39,39,36,,,,,,,
302459667168,56,86,90,74,,,,83,32,16,17,24,66,71,70,71,58,61,47,,7,35,68,70,66
191294086921,31,,,,,,,31,,,,,,,,,,,,,,,,,
270448739040,37,14,,,,46,,,,,,,,,44,,,,,,,,,,
265113584352,48,58,58,70,71,,55,,40,30,40,52,50,42,51,42,42,32,40,55,53,41,47,53,55
33152048905,34,,,,,,,,,34,,,,,,,,,,,,,,34,
102374589152,42,82,,,,,76,119,,18,17,20,41,24,49,27,36,17,10,7,13,45,51,60,71
137069871840,57,69,,,,,,,,,60,,,,,,,,,,,,41,,
151599193865,30,,,,,,,,,,,35,,,,29,,,,,,,,26,
105058943712,40,51,,,,,,,,,,,30,42,40,37,39,48,40,38,40,33,43,,38
234478387936,45,43,38,48,41,44,54,,,,80,50,32,80,,33,40,31,56,9,12,,45,32,54
