segment_id,day_avg,hour_0_avg,hour_1_avg,hour_2_avg,hour_3_avg,hour_4_avg,hour_5_avg,hour_6_avg,hour_7_avg,hour_8_avg,hour_9_avg,hour_10_avg,hour_11_avg,hour_12_avg,hour_13_avg,hour_14_avg,hour_15_avg,hour_16_avg,hour_17_avg,hour_18_avg,hour_19_avg,hour_20_avg,hour_21_avg,hour_22_avg,hour_23_avg
68082212617,38,54,35,,,44,,38,35,,32,37,35,45,28,39,28,34,37,33,32,37,37,,38
72175853321,39,,,,,,,,,,,39,,,,,,,,,,,,,
35500859145,30,,,,,,,33,44,34,30,,32,25,,35,27,32,,24,20,,,,
290178745056,46,46,24,44,47,63,38,48,66,44,40,45,54,51,25,42,48,49,39,45,43,37,44,45,50
30165704457,37,,,,,,,,,,,,,,42,24,,,44,,35,,,,
284843590368,35,,,,,,,,,,42,,38,36,38,,,39,42,26,8,,,40,41
235887927049,74,76,53,,,,121,,42,96,75,68,58,68,64,78,78,67,67,106,58,89,76,74,82
93550026505,53,,,,,,,,,,53,24,,,,,27,109,,,,,,,
203876998921,39,34,,,,,,,,,,44,42,,,,38,33,,,31,54,,36,31
279508435680,53,54,79,72,68,62,91,60,53,47,49,52,51,53,45,56,51,53,45,51,55,51,49,53,56
118514523913,57,57,,58,61,,,,56,57,58,58,54,56,59,53,60,58,59,62,52,55,57,54,59
102509059849,42,,,,,,,,43,32,37,,35,39,,34,35,,,35,,,132,,
86503595785,49,,,,,,,,,,,,,,,,,,,,49,,,,
81168441097,46,,,,,,,,,45,40,60,37,42,43,,36,,47,51,78,32,,,24
70498131721,32,42,,,,,,,,,36,26,28,25,,30,29,46,25,30,22,27,,39,37
53855133449,37,,,,,,,,,,,,,,,,37,,,,35,,,,41
270448739040,33,,,,,,,,,,23,,,,,25,73,,,,,,,,
265113584352,53,58,,45,57,,60,53,59,46,54,51,52,53,64,58,54,55,56,51,49,44,49,57,53
102374589152,55,74,83,57,,,,,52,39,54,59,70,49,56,48,57,58,25,9,36,47,50,72,120
137069871840,58,,,,,,,,80,44,,,,,88,,,33,45,,,,,,
121064407776,63,53,,,,,,,,51,65,75,,71,89,45,45,56,97,53,,54,68,50,67
151599193865,30,,,,,,,,,,,,,,,,,,,28,,31,,30,32
105058943712,42,40,,,,,47,41,46,38,34,41,38,42,40,42,41,47,41,50,43,44,40,39,50
268838126304,66,70,70,,,,,,,64,67,70,69,61,63,71,65,77,65,60,68,55,61,44,70
78383170272,48,58,66,,58,,58,,36,34,58,21,25,21,40,41,47,58,65,56,39,54,61,47,52
62377706208,53,66,63,60,59,77,62,59,50,58,55,59,61,35,55,41,55,47,48,48,43,42,51,44,48
180623777545,34,,,,,,,,,47,25,30,27,13,33,25,38,37,,17,28,51,36,31,
263502971616,78,88,,114,110,,85,80,74,74,79,78,80,76,82,78,72,83,75,79,73,72,73,78,79
244008099593,91,,,,,,,,,,33,,116,,,,,,,123,,,,,
200488001289,29,32,,,,,,,36,33,29,27,27,35,21,16,44,23,,31,29,23,29,21,
99120062217,38,34,44,,,,,34,27,35,25,27,52,48,24,26,,,,47,,56,,27,49
258167816928,63,,,94,71,,43,94,46,54,,59,45,54,62,49,59,89,51,38,,,69,73,60
238672944905,18,,,,,,,,21,29,,,,16,,,,,13,,14,,,,
252832662240,37,,,,,,,47,,38,,,39,27,,,35,32,,45,,,,,
27179360009,47,75,34,52,81,29,98,60,46,56,47,37,46,41,46,45,50,41,45,52,34,39,50,45,47
247497507552,29,67,92,,,,,23,41,22,27,17,22,23,35,13,21,20,21,24,21,12,23,,
209681915657,47,22,,38,30,47,,46,99,35,26,41,64,44,47,60,29,28,72,69,39,45,43,40,36
204346760969,43,,,,,,,41,,,,,,,,,44,,,,,,,,
193676451593,44,,,,,25,,,63,,,39,63,,,34,,,,,,,,,48
188341296905,38,37,,,,,,,,,38,43,39,,41,,39,35,42,40,35,,33,,35
140324904713,39,,,,,,,,,,,,,,,,,,,,,39,,,
228002635529,41,,,,,,,,,,,30,,,,74,31,,,,,,,,
310881829600,36,,,,,,,50,36,,38,43,,33,,27,21,40,,47,,44,10,,
324270047968,42,,,,,,,,,,,,,,,,,,,,,,42,,
308264583904,71,76,,,,,74,70,,68,80,68,77,,68,74,73,,,51,,72,,67,
65632739081,29,,,,,,,,,25,41,28,31,28,27,,26,33,29,26,,19,36,24,33
238907572960,47,38,,,,,,,,59,48,64,75,51,23,45,,45,37,,41,,38,36,
222667480841,33,,36,,,,42,43,,,37,29,34,,38,,27,36,,,37,22,33,28,
65028506336,56,,,74,66,74,,75,65,76,67,74,20,34,69,54,58,31,21,21,26,63,115,63,70
121534169824,66,66,111,67,110,,67,69,78,66,69,61,59,78,66,62,64,64,62,60,65,61,66,65,61
254208393952,45,102,,,,,33,,38,44,54,41,46,41,47,37,39,42,46,42,39,47,40,68,50
79893372681,19,,,,,,,,,,,,,,,,22,,,,,,15,,
231492043488,70,80,81,82,82,99,101,79,79,79,71,83,81,68,75,76,73,71,25,21,24,66,70,68,73
211997171465,58,,,,,,,,,,24,,,,,,,,,,83,,,,
260516627168,47,46,,,,,,,,40,,63,,37,87,36,48,30,,66,44,49,,50,
50130591497,47,,,,,,,,42,,,,86,,,,42,31,29,,,,,,
137942540041,27,,,,,,,,,,,,,,27,,,,,,,,,,
255181472480,32,29,27,,,,,33,30,31,39,35,28,35,50,17,29,41,26,23,31,30,39,40,25
132607385353,61,,,,,,,,,,,,61,,,,,,,,,,,,
318565794528,35,38,31,54,33,30,37,41,39,40,33,47,34,30,33,45,33,39,31,30,32,35,35,33,32
254745264864,34,,,,,,,,,,,34,,,,,,,,,,,,,
127272230665,27,38,37,,35,,38,22,31,22,29,30,25,25,28,37,23,23,27,16,21,23,27,27,28
244511163104,52,95,,,,,,,,,,35,,,,,37,38,28,35,,41,59,56,40
146129821449,29,,,,,,,,,24,31,29,51,,29,32,14,26,,,24,,27,25,
308734345952,29,18,,,,,,,23,,32,35,31,26,,33,,40,27,,28,,30,,
303399191264,46,,,,,,,57,39,,38,105,,40,,21,,55,,48,,44,27,,
298064036576,49,44,43,47,57,,,,,,,,46,74,,,46,,53,,,,40,,
66102501129,41,37,39,60,,,,,45,65,38,44,81,40,41,31,36,37,45,,28,33,25,33,48
53217599241,34,,,,,,,,,,,,,,,,,,,34,,,,,
250047644384,46,,,,,,,,,,,,,,46,,,,,,,,,,
244712489696,54,56,52,114,49,44,56,67,61,48,56,50,68,57,49,45,54,51,53,42,31,50,72,46,65
273535746784,32,44,29,53,25,41,,28,6,35,29,61,40,36,45,13,25,27,25,22,5,26,26,34,32
148679705312,66,73,,,,69,,,78,70,71,75,72,68,73,79,71,66,61,18,43,61,66,70,67
