segment_id,day_avg,hour_0_avg,hour_1_avg,hour_2_avg,hour_3_avg,hour_4_avg,hour_5_avg,hour_6_avg,hour_7_avg,hour_8_avg,hour_9_avg,hour_10_avg,hour_11_avg,hour_12_avg,hour_13_avg,hour_14_avg,hour_15_avg,hour_16_avg,hour_17_avg,hour_18_avg,hour_19_avg,hour_20_avg,hour_21_avg,hour_22_avg,hour_23_avg
68082212617,45,37,,,,,,,,30,37,54,35,40,59,37,,45,50,84,39,62,37,,52
263670743776,77,73,86,,,,87,81,89,85,85,76,78,74,70,80,74,70,77,75,77,76,73,82,77
69860597513,60,58,62,,,,67,,,,61,68,61,53,58,64,61,67,63,59,55,54,55,,58
290178745056,50,51,51,47,47,35,36,44,84,58,64,42,54,52,50,46,44,55,37,48,54,51,51,57,37
36071284489,34,29,,,,,,,,,,,34,,,,,,,41,,,,,33
64525442825,38,36,,32,27,29,36,37,49,37,39,39,36,45,38,39,37,33,41,35,36,41,30,33,41
284843590368,43,44,,,,,,,,,,46,38,,38,42,,,44,45,43,41,45,42,
235887927049,70,88,66,78,58,66,,93,69,,81,63,61,70,86,73,69,62,64,76,72,61,64,71,61
59190288137,56,46,,,,,,,,53,,,54,,,54,,,,66,,,,,
209212153609,63,,,,,,,,,,,,,,63,,,,,,,,,,
203876998921,38,,,,,,,,44,,,29,,51,,43,,,34,,,26,,37,
279508435680,55,58,48,58,47,124,51,69,54,55,45,64,40,56,54,57,54,54,55,54,60,59,48,48,54
139855142665,34,,,,,,,,,,,,,,,,,,,,,,18,,45
118514523913,58,65,,61,,65,,59,58,,59,58,59,58,58,60,58,58,59,56,54,56,51,63,57
102509059849,33,,,,,,,,,,,,,,,39,,,29,,,,,,
86503595785,76,,,,,,,,,,,,,,123,,51,83,,,,47,,,
81168441097,40,,,,,,,,,,40,,,,,39,,39,,48,,26,,,44
302459667168,83,90,76,78,245,79,92,88,91,92,95,79,81,78,80,82,73,79,77,73,69,73,72,74,80
70498131721,34,38,,,,,,,,32,,,32,,,,,,,,,,,37,
53855133449,37,,,,,,,,,,,,,,,,,,,,,,,37,
270448739040,42,42,,,,,36,,,,,,,45,,,49,39,,,,,,,
265113584352,62,66,60,62,,,81,,64,57,72,65,54,60,54,75,79,69,54,58,55,55,53,51,60
102374589152,61,64,,,,,,,,56,82,52,62,62,65,57,70,59,71,73,57,52,45,58,61
137069871840,52,58,,,,,,,,,,,,42,69,,45,29,39,57,,73,49,,56
121064407776,67,,,,,,,,,67,128,,61,115,68,,46,,68,57,58,45,69,50,
185958932233,33,,,,,,,,,,33,,,,,,,,,,,,,,
110394098400,79,,,,,,,,,,,,81,78,,86,,81,,,,75,72,,
105058943712,43,41,48,,,,,38,36,,44,41,39,43,,44,44,,48,50,46,42,36,38,
268838126304,68,61,,,,,,,,70,,,65,71,73,72,64,75,58,68,63,68,67,73,65
78383170272,54,97,,55,,71,,,53,,58,51,60,51,45,39,59,56,55,48,45,43,44,45,51
180623777545,34,,,30,21,18,18,,33,,36,41,,26,56,31,36,47,,22,45,30,25,64,25
263502971616,80,81,64,81,99,82,,,80,71,,84,65,86,78,86,78,79,82,81,77,94,75,82,
106569146121,71,61,,,,,,,,,,,,97,37,,,,,,,,,,
258167816928,76,87,,,,63,,77,,135,53,114,88,54,46,69,,67,62,,79,54,,144,43
238672944905,15,,,,,,,,,,,,,,,,,,,15,,,,,
287192400608,71,64,,66,69,,,67,84,80,80,69,67,82,78,75,70,72,62,73,68,71,68,69,62
27179360009,56,58,81,43,74,60,96,,41,53,77,44,36,47,68,46,46,63,46,48,144,63,48,53,48
247497507552,41,45,,,,,,,18,34,45,47,62,67,31,51,,28,35,26,31,33,35,,
209681915657,51,46,,88,46,,36,,,,37,45,51,49,64,36,53,49,51,53,75,,,44,58
193676451593,61,,,,,,,,,,35,,,,,41,,145,,81,,,,,
188341296905,44,,,,,,,,,40,43,,,,57,,,,,,,,38,,
228002635529,52,,,,,,,,,,,,87,,68,,,33,27,,66,,54,,
108313976585,35,,,,,,,,,,,,,,,,,,35,,,,,,
104723399392,31,,,,,,,,,,,36,,,25,,,,,,,,,,
324270047968,49,,,,,,,,,,,,,,60,37,,,,,,,,,
92308512521,36,,,,,,,,,35,28,32,,,,,36,38,,,,,,,53
308264583904,70,62,,,,,,,,,,,,,77,,,84,68,64,,69,,66,
276253655776,77,76,85,,,,,76,69,,80,73,66,71,75,73,71,59,77,76,165,78,76,78,72
44292120329,33,,,,,,,,,,,,,,,,33,,,,,,,,
222667480841,31,,,,,,,31,,44,,40,,,,27,28,59,,39,44,24,15,,38
65028506336,71,62,,,,,,,80,72,,73,78,67,69,66,68,55,92,70,61,62,80,74,
121534169824,69,69,60,68,65,,68,,71,,60,69,91,63,64,65,73,66,61,70,71,64,73,75,62
254208393952,45,42,44,48,,,,,45,82,35,47,47,62,36,40,43,43,42,65,45,52,42,49,47
79893372681,22,23,,,,,,,,,,,,,,,,21,,,,,,,
231492043488,76,76,71,88,82,76,74,84,81,76,102,80,73,76,75,77,73,76,74,72,71,77,69,70,70
211997171465,25,,,,,,,,,,,,,,,,21,,,,,,,29,
260516627168,53,,,,,,,,,,12,,,,,75,62,61,46,,,,,,54
53318262537,35,,,,,,,,,,,,,,,35,,,35,,,,,,
256389432032,66,63,72,76,77,68,78,63,65,69,67,73,66,61,69,81,56,62,64,60,75,63,62,62,65
103582801673,17,,,,,,,,,,,,17,,,,,,,,16,,,,
255181472480,32,14,,,,,,,42,36,,,27,,33,34,30,23,28,38,,44,27,67,39
29528170249,32,,,,,,,,,,,,,35,,31,,,,32,,,,,
318565794528,38,37,39,35,39,39,40,,33,41,40,34,38,31,36,40,42,35,37,36,36,34,36,61,40
127272230665,30,34,37,35,29,,,,36,39,17,35,29,29,29,33,35,26,19,21,36,25,,41,37
244511163104,58,88,82,88,,,,,,37,,70,,,62,42,42,40,41,42,75,40,67,,39
151464976137,40,,,,,,,,,,,37,,,,,44,,,,,42,,,
146129821449,41,37,,,,,,,,32,,,,,,,,49,25,42,62,42,,,
308734345952,34,32,,,,,,,,,,,35,44,38,,21,29,16,32,46,,34,32,
303399191264,46,,,,,,,47,,,,58,,,34,48,59,43,48,,,45,,,
298064036576,47,44,,,,,,,,,,56,,,47,,,49,,49,,47,,,42
66102501129,48,45,,,,,,,,,,,74,49,36,53,36,60,65,,62,29,35,45,25
53217599241,28,,,,,,,,,,,,,,,,,,28,,,,,,
34091573001,79,,,,,,,,,,,,,79,,,,,,,,,,,
244712489696,56,53,59,51,53,50,53,45,50,44,69,60,62,59,55,53,49,62,55,69,53,51,46,43,71
273535746784,32,34,50,,42,39,,,29,28,38,33,40,30,32,33,35,31,29,31,25,32,24,26,30
148679705312,72,77,,,88,82,,,79,75,66,67,80,71,64,67,69,75,68,60,63,62,75,67,72
