segment_id,day_avg,hour_0_avg,hour_1_avg,hour_2_avg,hour_3_avg,hour_4_avg,hour_5_avg,hour_6_avg,hour_7_avg,hour_8_avg,hour_9_avg,hour_10_avg,hour_11_avg,hour_12_avg,hour_13_avg,hour_14_avg,hour_15_avg,hour_16_avg,hour_17_avg,hour_18_avg,hour_19_avg,hour_20_avg,hour_21_avg,hour_22_avg,hour_23_avg
68082212617,35,42,,40,,,,29,41,27,34,37,,37,36,32,37,,22,39,34,42,,,
35500859145,33,32,,,,72,,,,49,33,31,28,31,,,28,43,31,26,35,25,,,
290178745056,47,40,70,,45,40,68,74,51,54,47,39,46,46,44,50,42,39,50,46,31,41,52,51,51
36071284489,34,,,,,,,,,,43,,,,27,,,,,,30,36,,37,
98885181193,23,,,,,,,,,,,,,,,,,,23,,,,,,
284843590368,44,45,,,,,,49,,45,50,52,37,46,,44,,45,,40,40,43,,,
241223081737,34,34,,,,,,,28,44,40,37,,42,37,33,,,,,20,32,,,35
235887927049,68,85,101,69,,,,,95,38,64,68,88,61,41,75,80,88,65,79,59,57,88,46,48
59190288137,47,,,,,,,,,,,,47,52,52,42,,,,44,,44,,,
203876998921,35,,,,,,,,54,33,,36,37,31,25,,33,40,,,39,,,,
279508435680,55,64,52,63,53,60,63,75,54,53,67,55,54,52,63,55,51,47,54,52,42,58,46,57,61
193206689545,41,,35,49,,,,,,,,,,38,45,46,,44,,,,36,,,32
118514523913,57,59,,74,,53,58,66,58,56,56,57,65,53,59,60,57,57,53,56,57,58,59,55,54
102509059849,48,,,,,,,,,36,52,32,,,36,,51,,36,,33,39,108,,
86503595785,59,,,,,,,,,,,,,,,,,,,59,,,,,
81168441097,45,,,,,,,,,32,48,,62,38,38,,47,44,50,56,37,,,46,
70498131721,35,,,,,,,,,31,29,83,34,37,26,30,,20,41,,,,34,28,
65162977033,34,,,,,,,,,,,,,,34,,,,,,,,,,
53855133449,51,,,,,,,,,,,37,,,27,35,,,,,29,92,,,
270448739040,27,,,,,27,,,,,,,,,,,,,,,,,,,
265113584352,53,56,54,,57,,68,46,50,55,52,53,52,45,54,55,57,51,52,51,49,44,56,62,58
33152048905,54,,,,,,,68,,40,,,,,,,,,,,,,,,
102374589152,73,63,61,,,,,52,51,46,53,65,51,60,68,66,59,63,33,14,69,59,252,51,56
