segment_id,day_avg,hour_0_avg,hour_1_avg,hour_2_avg,hour_3_avg,hour_4_avg,hour_5_avg,hour_6_avg,hour_7_avg,hour_8_avg,hour_9_avg,hour_10_avg,hour_11_avg,hour_12_avg,hour_13_avg,hour_14_avg,hour_15_avg,hour_16_avg,hour_17_avg,hour_18_avg,hour_19_avg,hour_20_avg,hour_21_avg,hour_22_avg,hour_23_avg
68082212617,38,81,38,32,,,,,,35,34,34,30,41,31,30,34,46,40,36,35,37,41,36,37
35500859145,30,,,,,,,30,,,,37,20,26,35,42,26,33,38,,33,32,26,,
324538483424,33,,,,,,,,,,,,,38,31,,,32,31,,,,,,
36071284489,40,,,,27,,,,,,,,,,,18,,77,,,,,56,35,28
30165704457,41,,,,,,,,42,,,,,44,47,,,,,43,26,,41,,
284843590368,44,45,,,,,,,,,44,,44,53,43,48,,43,45,44,,38,43,38,46
241223081737,32,,,,,,,,,37,35,39,,,26,,,,38,,24,,25,,
235887927049,70,87,78,53,100,105,,77,65,62,128,61,65,37,67,49,66,89,100,73,55,79,54,83,48
59190288137,53,,,,,,,,,57,55,52,,57,,47,52,,,48,51,52,,,
203876998921,36,36,63,,,,,,,,,19,,,,,,,23,,36,37,48,,
279508435680,55,58,54,49,60,70,53,58,47,68,54,56,58,50,53,53,54,59,49,57,57,47,49,56,62
193206689545,41,41,,,,,,,,37,,,,,,,42,51,,32,42,,,,
139855142665,25,,,,,,,,,,43,11,22,,30,,,16,,,,,,,
118514523913,57,58,,56,,,,51,54,56,60,56,57,54,56,61,57,61,57,61,54,57,57,53,55
102509059849,36,,,,,,,,,37,54,23,,,30,46,,,44,31,,38,,,
86503595785,49,,,,,,,,,,,,,,,,,,,49,,,,,
81168441097,41,40,,,,,,,,48,41,44,35,46,,,,25,51,,,,,,38
302459667168,77,71,75,66,,,,80,87,73,82,89,78,76,82,70,79,78,75,74,73,76,73,74,90
70498131721,40,37,,,43,,,,69,,60,45,,33,23,,,,,43,23,,35,48,30
53855133449,33,,,,,,,,,,51,,,27,,,,,33,,26,,33,,
265113584352,55,55,64,61,,,,58,50,57,57,57,56,63,53,65,52,51,53,56,51,47,47,66,58
102374589152,61,54,,,,,,58,,73,113,76,57,61,63,66,54,80,50,41,46,45,59,46,53
137069871840,58,,,,,,,,,43,52,,,,93,75,58,,,42,,43,,,
